quad_id,wrs2_code
013035UL,13035
013035UR,13035
013035LL,13035
013035LR,13035
013036UL,13036
013036UR,13036
013036LL,13036
013036LR,13036
014034UL,14034
014034UR,14034
014034LL,14034
014034LR,14034
014035UL,14035
014035UR,14035
014035LL,14035
014035LR,14035
014036UL,14036
014036UR,14036
014036LL,14036
014036LR,14036
015033UL,15033
015033UR,15033
015033LL,15033
015033LR,15033
015034UL,15034
015034UR,15034
015034LL,15034
015034LR,15034
015035UL,15035
015035UR,15035
015035LL,15035
015035LR,15035
015036UL,15036
015036UR,15036
015036LL,15036
015036LR,15036
015037UL,15037
015037UR,15037
015037LL,15037
015037LR,15037
015040UL,15040
015040UR,15040
015040LL,15040
015040LR,15040
015041UL,15041
015041UR,15041
015041LL,15041
015041LR,15041
015042UL,15042
015042UR,15042
015042LL,15042
015042LR,15042
015043UL,15043
015043UR,15043
015043LL,15043
015043LR,15043
016033UL,16033
016033UR,16033
016033LL,16033
016033LR,16033
016034UL,16034
016034UR,16034
016034LL,16034
016034LR,16034
016035UL,16035
016035UR,16035
016035LL,16035
016035LR,16035
016036UL,16036
016036UR,16036
016036LL,16036
016036LR,16036
016037UL,16037
016037UR,16037
016037LL,16037
016037LR,16037
016038UL,16038
016038UR,16038
016038LL,16038
016038LR,16038
016039UL,16039
016039UR,16039
016039LL,16039
016039LR,16039
016040UL,16040
016040UR,16040
016040LL,16040
016040LR,16040
016041UL,16041
016041UR,16041
016041LL,16041
016041LR,16041
016042UL,16042
016042UR,16042
016042LL,16042
016042LR,16042
016043UL,16043
016043UR,16043
016043LL,16043
016043LR,16043
017033UL,17033
017033UR,17033
017033LL,17033
017033LR,17033
017034UL,17034
017034UR,17034
017034LL,17034
017034LR,17034
017035UL,17035
017035UR,17035
017035LL,17035
017035LR,17035
017036UL,17036
017036UR,17036
017036LL,17036
017036LR,17036
017037UL,17037
017037UR,17037
017037LL,17037
017037LR,17037
017038UL,17038
017038UR,17038
017038LL,17038
017038LR,17038
017039UL,17039
017039UR,17039
017039LL,17039
017039LR,17039
017040UL,17040
017040UR,17040
017040LL,17040
017040LR,17040
017041UL,17041
017041UR,17041
017041LL,17041
017041LR,17041
018033UL,18033
018033UR,18033
018033LL,18033
018033LR,18033
018034UL,18034
018034UR,18034
018034LL,18034
018034LR,18034
018035UL,18035
018035UR,18035
018035LL,18035
018035LR,18035
018036UL,18036
018036UR,18036
018036LL,18036
018036LR,18036
018037UL,18037
018037UR,18037
018037LL,18037
018037LR,18037
018038UL,18038
018038UR,18038
018038LL,18038
018038LR,18038
018039UL,18039
018039UR,18039
018039LL,18039
018039LR,18039
018040UL,18040
018040UR,18040
018040LL,18040
018040LR,18040
019033UL,19033
019033UR,19033
019033LL,19033
019033LR,19033
019034UL,19034
019034UR,19034
019034LL,19034
019034LR,19034
019035UL,19035
019035UR,19035
019035LL,19035
019035LR,19035
019036UL,19036
019036UR,19036
019036LL,19036
019036LR,19036
019037UL,19037
019037UR,19037
019037LL,19037
019037LR,19037
019038UL,19038
019038UR,19038
019038LL,19038
019038LR,19038
019039UL,19039
019039UR,19039
019039LL,19039
019039LR,19039
020033UL,20033
020033UR,20033
020033LL,20033
020033LR,20033
020034UL,20034
020034UR,20034
020034LL,20034
020034LR,20034
020035UL,20035
020035UR,20035
020035LL,20035
020035LR,20035
020036UL,20036
020036UR,20036
020036LL,20036
020036LR,20036
020037UL,20037
020037UR,20037
020037LL,20037
020037LR,20037
020038UL,20038
020038UR,20038
020038LL,20038
020038LR,20038
020039UL,20039
